x_asv,y_asv
-5.646111965179443359e-01,-1.097979545593261719e+00
-5.668298006057739258e-01,-1.076487064361572266e+00
-5.688316226005554199e-01,-1.054867744445800781e+00
-5.706956982612609863e-01,-1.033182144165039062e+00
-5.724809169769287109e-01,-1.011471271514892578e+00
-5.742289423942565918e-01,-9.897618889808654785e-01
-5.759677290916442871e-01,-9.680711030960083008e-01
-5.777149200439453125e-01,-9.464097023010253906e-01
-5.794813632965087891e-01,-9.247844219207763672e-01
-5.812733173370361328e-01,-9.031997919082641602e-01
-5.830942988395690918e-01,-8.816589117050170898e-01
-5.849460959434509277e-01,-8.601642847061157227e-01
-5.868295431137084961e-01,-8.387178778648376465e-01
-5.887449383735656738e-01,-8.173216581344604492e-01
-5.906922221183776855e-01,-7.959773540496826172e-01
-5.926711559295654297e-01,-7.746867537498474121e-01
-5.946815013885498047e-01,-7.534515857696533203e-01
-5.967229008674621582e-01,-7.322735786437988281e-01
-5.987949967384338379e-01,-7.111545205116271973e-01
-6.008974909782409668e-01,-6.900961399078369141e-01
-6.030300259590148926e-01,-6.691001653671264648e-01
-6.051922440528869629e-01,-6.481683254241943359e-01
-6.073837876319885254e-01,-6.273023486137390137e-01
-6.096042990684509277e-01,-6.065040230751037598e-01
-6.118534803390502930e-01,-5.857750773429870605e-01
-6.141310334205627441e-01,-5.651171803474426270e-01
-6.164365410804748535e-01,-5.445321202278137207e-01
-6.187697052955627441e-01,-5.240215659141540527e-01
-6.211301684379577637e-01,-5.035872459411621094e-01
-6.235176324844360352e-01,-4.832308292388916016e-01
-6.259317398071289062e-01,-4.629540145397186279e-01
-6.283721327781677246e-01,-4.427585005760192871e-01
-6.308384537696838379e-01,-4.226459562778472900e-01
-6.333304047584533691e-01,-4.026180505752563477e-01
-6.358476281166076660e-01,-3.826764225959777832e-01
-6.383898258209228516e-01,-3.628227412700653076e-01
-6.409565806388854980e-01,-3.430586755275726318e-01
-6.435475945472717285e-01,-3.233858346939086914e-01
-6.461625099182128906e-01,-3.038058280944824219e-01
-6.488010287284851074e-01,-2.843202948570251465e-01
-6.514627933502197266e-01,-2.649308145046234131e-01
-6.541474461555480957e-01,-2.456390112638473511e-01
-6.568546891212463379e-01,-2.264464497566223145e-01
-6.595841646194458008e-01,-2.073547244071960449e-01
-6.623355150222778320e-01,-1.883653998374938965e-01
-6.651084423065185547e-01,-1.694800406694412231e-01
-6.679025888442993164e-01,-1.507001817226409912e-01
-6.707175970077514648e-01,-1.320273727178573608e-01
-6.735531687736511230e-01,-1.134631335735321045e-01
-6.764089465141296387e-01,-9.500898420810699463e-02
-6.792846322059631348e-01,-7.666642963886260986e-02
-6.821798682212829590e-01,-5.843697488307952881e-02
-6.850943565368652344e-01,-4.032209515571594238e-02
-6.880277395248413086e-01,-2.232327312231063843e-02
-6.909797191619873047e-01,-4.441967234015464783e-03
-6.939499378204345703e-01,1.332036778330802917e-02
-6.969380974769592285e-01,3.096229210495948792e-02
-6.999438405036926270e-01,4.848237335681915283e-02
-7.029669284820556641e-01,6.587919592857360840e-02
-7.060069441795349121e-01,8.315135538578033447e-02
-7.090636491775512695e-01,1.002974584698677063e-01
-7.121366858482360840e-01,1.173161193728446960e-01
-7.152257561683654785e-01,1.342059671878814697e-01
-7.183305025100708008e-01,1.509656459093093872e-01
-7.214506864547729492e-01,1.675938069820404053e-01
-7.245859503746032715e-01,1.840891242027282715e-01
-7.277359962463378906e-01,2.004502713680267334e-01
-7.309005260467529297e-01,2.166759371757507324e-01
-7.340792417526245117e-01,2.327648252248764038e-01
-7.372718453407287598e-01,2.487156689167022705e-01
-7.404780387878417969e-01,2.645272016525268555e-01
-7.436975240707397461e-01,2.801981270313262939e-01
-7.469300031661987305e-01,2.957272529602050781e-01
-7.501751780509948730e-01,3.111133277416229248e-01
-7.534327507019042969e-01,3.263551294803619385e-01
-7.567024827003479004e-01,3.414514660835266113e-01
-7.599840164184570312e-01,3.564011454582214355e-01
-7.632771134376525879e-01,3.712030053138732910e-01
-7.665814757347106934e-01,3.858558535575866699e-01
-7.698968648910522461e-01,4.003585875034332275e-01
-7.732229232788085938e-01,4.147100448608398438e-01
-7.765594720840454102e-01,4.289091229438781738e-01
-7.799061536788940430e-01,4.429547190666198730e-01
-7.832627892494201660e-01,4.568457305431365967e-01
-7.866290211677551270e-01,4.705811142921447754e-01
-7.900046110153198242e-01,4.841597974300384521e-01
-7.933893203735351562e-01,4.975807070732116699e-01
-7.967829108238220215e-01,5.108428597450256348e-01
-8.001850843429565430e-01,5.239452123641967773e-01
-8.035956025123596191e-01,5.368868112564086914e-01
-8.070141673088073730e-01,5.496666431427001953e-01
-8.104405999183654785e-01,5.622836947441101074e-01
-8.138746023178100586e-01,5.747370719909667969e-01
-8.173159360885620117e-01,5.870258212089538574e-01
-8.207643628120422363e-01,5.991490483283996582e-01
-8.242196440696716309e-01,6.111057996749877930e-01
-8.276815414428710938e-01,6.228952407836914062e-01
-8.311498165130615234e-01,6.345164775848388672e-01
-8.346242308616638184e-01,6.459686756134033203e-01
-8.381045460700988770e-01,6.572509407997131348e-01
-8.415905237197875977e-01,6.683624982833862305e-01
-8.450819849967956543e-01,6.793025135993957520e-01
-8.485786914825439453e-01,6.900702118873596191e-01
-8.520804047584533691e-01,7.006648182868957520e-01
-8.555868864059448242e-01,7.110856175422668457e-01
-8.590979576110839844e-01,7.213318347930908203e-01
-8.626133799552917480e-01,7.314027547836303711e-01
-8.661329746246337891e-01,7.412976622581481934e-01
-8.696565032005310059e-01,7.510158419609069824e-01
-8.731837272644042969e-01,7.605566382408142090e-01
-8.767144680023193359e-01,7.699193954467773438e-01
-8.802485466003417969e-01,7.791035175323486328e-01
-8.837857246398925781e-01,7.881083488464355469e-01
-8.873258233070373535e-01,7.969332933425903320e-01
-8.908686637878417969e-01,8.055777549743652344e-01
-8.944140672683715820e-01,8.140411972999572754e-01
-8.979617953300476074e-01,8.223230838775634766e-01
-9.015116691589355469e-01,8.304228782653808594e-01
-9.050635099411010742e-01,8.383400440216064453e-01
-9.086171388626098633e-01,8.460741043090820312e-01
-9.121723771095275879e-01,8.536245226860046387e-01
-9.157289862632751465e-01,8.609908819198608398e-01
-9.192868471145629883e-01,8.681727647781372070e-01
-9.228457808494567871e-01,8.751697540283203125e-01
-9.264056086540222168e-01,8.819814324378967285e-01
-9.299661517143249512e-01,8.886073827743530273e-01
-9.335272312164306641e-01,8.950472474098205566e-01
-9.370887279510498047e-01,9.013007283210754395e-01
-9.406504034996032715e-01,9.073674678802490234e-01
-9.442121386528015137e-01,9.132471084594726562e-01
-9.477737545967102051e-01,9.189394116401672363e-01
-9.513351321220397949e-01,9.244440793991088867e-01
-9.548960924148559570e-01,9.297608733177185059e-01
-9.584564566612243652e-01,9.348895549774169922e-01
-9.620161056518554688e-01,9.398298859596252441e-01
-9.655748605728149414e-01,9.445816874504089355e-01
-9.691325426101684570e-01,9.491447806358337402e-01
-9.726890921592712402e-01,9.535189867019653320e-01
-9.762442708015441895e-01,9.577041864395141602e-01
-9.797980189323425293e-01,9.617002010345458984e-01
-9.833501577377319336e-01,9.655069708824157715e-01
-9.869005084037780762e-01,9.691244363784790039e-01
-9.904490113258361816e-01,9.725524783134460449e-01
-9.939954876899719238e-01,9.757910966873168945e-01
-9.975398182868957520e-01,9.788402318954467773e-01
-1.001081824302673340e+00,9.816998839378356934e-01
-1.004621386528015137e+00,9.843700528144836426e-01
-1.008158445358276367e+00,9.868507385253906250e-01
-1.011692762374877930e+00,9.891420602798461914e-01
-1.015224337577819824e+00,9.912440180778503418e-01
-1.018752932548522949e+00,9.931567311286926270e-01
-1.022278547286987305e+00,9.948803186416625977e-01
-1.025800943374633789e+00,9.964148998260498047e-01
