x_asv,y_asv
-3.517275333404541016e+00,-6.862173676490783691e-01
-3.504595994949340820e+00,-6.745188832283020020e-01
-3.490241527557373047e+00,-6.642467379570007324e-01
-3.475111722946166992e+00,-6.546747684478759766e-01
-3.459625720977783203e+00,-6.454491615295410156e-01
-3.443984270095825195e+00,-6.363937854766845703e-01
-3.428286075592041016e+00,-6.274195909500122070e-01
-3.412581443786621094e+00,-6.184806823730468750e-01
-3.396896839141845703e+00,-6.095534563064575195e-01
-3.381246566772460938e+00,-6.006256937980651855e-01
-3.365638971328735352e+00,-5.916915535926818848e-01
-3.350078582763671875e+00,-5.827485918998718262e-01
-3.334568500518798828e+00,-5.737963318824768066e-01
-3.319110155105590820e+00,-5.648355484008789062e-01
-3.303704500198364258e+00,-5.558676719665527344e-01
-3.288352012634277344e+00,-5.468945503234863281e-01
-3.273052692413330078e+00,-5.379183888435363770e-01
-3.257806539535522461e+00,-5.289415121078491211e-01
-3.242613315582275391e+00,-5.199663639068603516e-01
-3.227472782135009766e+00,-5.109954476356506348e-01
-3.212384462356567383e+00,-5.020313262939453125e-01
-3.197347879409790039e+00,-4.930765926837921143e-01
-3.182362556457519531e+00,-4.841338694095611572e-01
-3.167428016662597656e+00,-4.752058088779449463e-01
-3.152543783187866211e+00,-4.662950336933135986e-01
-3.137709617614746094e+00,-4.574041962623596191e-01
-3.122924566268920898e+00,-4.485359489917755127e-01
-3.108188390731811523e+00,-4.396929442882537842e-01
-3.093500375747680664e+00,-4.308778345584869385e-01
-3.078860044479370117e+00,-4.220932722091674805e-01
-3.064266920089721680e+00,-4.133419394493103027e-01
-3.049720525741577148e+00,-4.046265184879302979e-01
-3.035220146179199219e+00,-3.959496617317199707e-01
-3.020765066146850586e+00,-3.873140215873718262e-01
-3.006354808807373047e+00,-3.787223100662231445e-01
-2.991988897323608398e+00,-3.701771497726440430e-01
-2.977666616439819336e+00,-3.616812229156494141e-01
-2.963387489318847656e+00,-3.532372117042541504e-01
-2.949150800704956055e+00,-3.448477685451507568e-01
-2.934955835342407227e+00,-3.365155756473541260e-01
-2.920802116394042969e+00,-3.282432854175567627e-01
-2.906688928604125977e+00,-3.200335502624511719e-01
-2.892615795135498047e+00,-3.118890523910522461e-01
-2.878582000732421875e+00,-3.038124144077301025e-01
-2.864586830139160156e+00,-2.958063185214996338e-01
-2.850629568099975586e+00,-2.878734171390533447e-01
-2.836709737777709961e+00,-2.800163626670837402e-01
-2.822826623916625977e+00,-2.722377777099609375e-01
-2.808979511260986328e+00,-2.645402848720550537e-01
-2.795167684555053711e+00,-2.569265365600585938e-01
-2.781390428543090820e+00,-2.493991553783416748e-01
-2.767647027969360352e+00,-2.419607639312744141e-01
-2.753937005996704102e+00,-2.346139699220657349e-01
-2.740259408950805664e+00,-2.273613661527633667e-01
-2.726613759994506836e+00,-2.202055603265762329e-01
-2.712999343872070312e+00,-2.131491452455520630e-01
-2.699415206909179688e+00,-2.061946988105773926e-01
-2.685860872268676758e+00,-1.993447840213775635e-01
-2.672335624694824219e+00,-1.926019638776779175e-01
-2.658838510513305664e+00,-1.859687864780426025e-01
-2.645369052886962891e+00,-1.794477999210357666e-01
-2.631926536560058594e+00,-1.730415225028991699e-01
-2.618510007858276367e+00,-1.667524874210357666e-01
-2.605118989944458008e+00,-1.605831831693649292e-01
-2.591752529144287109e+00,-1.545360982418060303e-01
-2.578410148620605469e+00,-1.486137211322784424e-01
-2.565090894699096680e+00,-1.428185254335403442e-01
-2.551794052124023438e+00,-1.371529549360275269e-01
-2.538518905639648438e+00,-1.316194385290145874e-01
-2.525264739990234375e+00,-1.262204051017761230e-01
-2.512030839920043945e+00,-1.209582537412643433e-01
-2.498816490173339844e+00,-1.158353760838508606e-01
-2.485620975494384766e+00,-1.108541488647460938e-01
-2.472443342208862305e+00,-1.060169264674186707e-01
-2.459283113479614258e+00,-1.013260483741760254e-01
-2.446139574050903320e+00,-9.678383916616439819e-02
-2.433011770248413086e+00,-9.239260107278823853e-02
-2.419899225234985352e+00,-8.815462142229080200e-02
-2.406800985336303711e+00,-8.407215774059295654e-02
-2.393716573715209961e+00,-8.014746755361557007e-02
-2.380645036697387695e+00,-7.638277113437652588e-02
-2.367585659027099609e+00,-7.278028130531311035e-02
-2.354537963867187500e+00,-6.934218108654022217e-02
-2.341500997543334961e+00,-6.607063859701156616e-02
-2.328474283218383789e+00,-6.296779960393905640e-02
-2.315456867218017578e+00,-6.003578752279281616e-02
-2.302448272705078125e+00,-5.727670341730117798e-02
-2.289447784423828125e+00,-5.469262972474098206e-02
-2.276454687118530273e+00,-5.228562653064727783e-02
-2.263468265533447266e+00,-5.005772784352302551e-02
-2.250487804412841797e+00,-4.801094904541969299e-02
-2.237512826919555664e+00,-4.614727571606636047e-02
-2.224542379379272461e+00,-4.446867853403091431e-02
-2.211575984954833984e+00,-4.297710210084915161e-02
-2.198613166809082031e+00,-4.167446494102478027e-02
-2.185652971267700195e+00,-4.056266322731971741e-02
-2.172694921493530273e+00,-3.964357078075408936e-02
-2.159738302230834961e+00,-3.891903162002563477e-02
-2.146782636642456055e+00,-3.839087486267089844e-02
-2.133827209472656250e+00,-3.806089609861373901e-02
-2.120871543884277344e+00,-3.793086856603622437e-02
-2.107914924621582031e+00,-3.800254315137863159e-02
-2.094956874847412109e+00,-3.827764466404914856e-02
-2.081996679306030273e+00,-3.875787183642387390e-02
-2.069033861160278320e+00,-3.944490104913711548e-02
-2.056067943572998047e+00,-4.034037515521049500e-02
-2.043098211288452148e+00,-4.144591838121414185e-02
-2.030124187469482422e+00,-4.276312887668609619e-02
-2.017145395278930664e+00,-4.429357498884201050e-02
-2.004161119461059570e+00,-4.603880271315574646e-02
-1.991171002388000488e+00,-4.800033196806907654e-02
-1.978174448013305664e+00,-5.017965659499168396e-02
-1.965170979499816895e+00,-5.257824063301086426e-02
-1.952160239219665527e+00,-5.519752576947212219e-02
-1.939141631126403809e+00,-5.803892388939857483e-02
-1.926114678382873535e+00,-6.110382080078125000e-02
-1.913078904151916504e+00,-6.439357995986938477e-02
-1.900033831596374512e+00,-6.790953129529953003e-02
-1.886979103088378906e+00,-7.165298610925674438e-02
-1.873914241790771484e+00,-7.562521845102310181e-02
-1.860838770866394043e+00,-7.982748001813888550e-02
-1.847752332687377930e+00,-8.426100015640258789e-02
-1.834654569625854492e+00,-8.892697840929031372e-02
-1.821545004844665527e+00,-9.382658451795578003e-02
-1.808423280715942383e+00,-9.896095842123031616e-02
-1.795288920402526855e+00,-1.043312177062034607e-01
-1.782141685485839844e+00,-1.099384501576423645e-01
-1.768981099128723145e+00,-1.157837212085723877e-01
-1.755806922912597656e+00,-1.218680590391159058e-01
-1.742618799209594727e+00,-1.281924694776535034e-01
-1.729416251182556152e+00,-1.347579210996627808e-01
-1.716199159622192383e+00,-1.415653824806213379e-01
-1.702967047691345215e+00,-1.486157625913619995e-01
-1.689719676971435547e+00,-1.559099555015563965e-01
-1.676456809043884277e+00,-1.634488254785537720e-01
-1.663178086280822754e+00,-1.712332069873809814e-01
-1.649883151054382324e+00,-1.792639195919036865e-01
-1.636571884155273438e+00,-1.875417232513427734e-01
-1.623243927955627441e+00,-1.960673928260803223e-01
-1.609899044036865234e+00,-2.048416286706924438e-01
-1.596536993980407715e+00,-2.138651311397552490e-01
-1.583157539367675781e+00,-2.231385707855224609e-01
-1.569760560989379883e+00,-2.326625883579254150e-01
-1.556345701217651367e+00,-2.424377799034118652e-01
-1.542912840843200684e+00,-2.524647116661071777e-01
-1.529461741447448730e+00,-2.627439498901367188e-01
-1.515992164611816406e+00,-2.732760310173034668e-01
-1.502503991127014160e+00,-2.840614020824432373e-01
-1.488997101783752441e+00,-2.951005697250366211e-01
-1.475471258163452148e+00,-3.063939213752746582e-01
-1.461926341056823730e+00,-3.179418742656707764e-01
-1.448545813560485840e+00,-3.261747956275939941e-01
-1.435807228088378906e+00,-3.321947157382965088e-01
-1.423516511917114258e+00,-3.370081782341003418e-01
-1.411490797996520996e+00,-3.412306606769561768e-01
-1.399608612060546875e+00,-3.452212512493133545e-01
-1.387797832489013672e+00,-3.491859436035156250e-01
-1.376017808914184570e+00,-3.532426655292510986e-01
-1.364245653152465820e+00,-3.574592769145965576e-01
-1.352468252182006836e+00,-3.618751466274261475e-01
-1.340678095817565918e+00,-3.665133714675903320e-01
-1.328870296478271484e+00,-3.713876307010650635e-01
-1.317041993141174316e+00,-3.765061795711517334e-01
-1.305191159248352051e+00,-3.818740546703338623e-01
-1.293316364288330078e+00,-3.874943554401397705e-01
-1.281416773796081543e+00,-3.933690786361694336e-01
-1.269491672515869141e+00,-3.994994461536407471e-01
-1.257540583610534668e+00,-4.058862626552581787e-01
-1.245563149452209473e+00,-4.125300645828247070e-01
-1.233559131622314453e+00,-4.194311797618865967e-01
-1.221528530120849609e+00,-4.265898168087005615e-01
-1.209471225738525391e+00,-4.340060949325561523e-01
-1.197387099266052246e+00,-4.416800737380981445e-01
-1.185276269912719727e+00,-4.496117532253265381e-01
-1.173138618469238281e+00,-4.578010737895965576e-01
-1.160974264144897461e+00,-4.662479758262634277e-01
-1.148783206939697266e+00,-4.749523401260375977e-01
-1.136565446853637695e+00,-4.839140176773071289e-01
-1.124321103096008301e+00,-4.931328296661376953e-01
-1.112050175666809082e+00,-5.026085972785949707e-01
-1.099752783775329590e+00,-5.123410820960998535e-01
-1.087428927421569824e+00,-5.223300457000732422e-01
-1.075078725814819336e+00,-5.325752496719360352e-01
-1.062702178955078125e+00,-5.430763363838195801e-01
-1.050299406051635742e+00,-5.538330674171447754e-01
-1.037870526313781738e+00,-5.648450255393981934e-01
-1.025415658950805664e+00,-5.761118531227111816e-01
-1.012934803962707520e+00,-5.876331329345703125e-01
-1.000427961349487305e+00,-5.994085073471069336e-01
-9.878953695297241211e-01,-6.114374399185180664e-01
-9.753370285034179688e-01,-6.237195134162902832e-01
-9.627530574798583984e-01,-6.362542510032653809e-01
-9.501435756683349609e-01,-6.490411162376403809e-01
-9.375087022781372070e-01,-6.620795726776123047e-01
-9.248484969139099121e-01,-6.753690242767333984e-01
-9.121630787849426270e-01,-6.889088749885559082e-01
-8.994525074958801270e-01,-7.026985287666320801e-01
-8.867169618606567383e-01,-7.167373299598693848e-01
-8.739565014839172363e-01,-7.310245633125305176e-01
-8.611712455749511719e-01,-7.455595731735229492e-01
-8.483613133430480957e-01,-7.603416442871093750e-01
-8.355268239974975586e-01,-7.753700613975524902e-01
-8.226679563522338867e-01,-7.906440496444702148e-01
-8.097847700119018555e-01,-8.061627745628356934e-01
-7.968773841857910156e-01,-8.219254612922668457e-01
-7.839459776878356934e-01,-8.379312753677368164e-01
-7.709906697273254395e-01,-8.541793227195739746e-01
-7.580115795135498047e-01,-8.706687092781066895e-01
-7.450088262557983398e-01,-8.873985409736633301e-01
-7.319825887680053711e-01,-9.043678641319274902e-01
-7.189329266548156738e-01,-9.215757250785827637e-01
-7.058600783348083496e-01,-9.390211105346679688e-01
-6.927641034126281738e-01,-9.567030668258666992e-01
-6.796452403068542480e-01,-9.746205210685729980e-01
-6.665035486221313477e-01,-9.927724599838256836e-01
-6.533392667770385742e-01,-1.011157751083374023e+00
-6.401524543762207031e-01,-1.029775381088256836e+00
-6.269433498382568359e-01,-1.048624157905578613e+00
-6.137120723724365234e-01,-1.067702889442443848e+00
-6.004588007926940918e-01,-1.087010502815246582e+00
-5.871836543083190918e-01,-1.106545686721801758e+00
-5.738868117332458496e-01,-1.126307249069213867e+00
-5.605684518814086914e-01,-1.146293997764587402e+00
-5.472287535667419434e-01,-1.166504740715026855e+00
-5.338678359985351562e-01,-1.186938047409057617e+00
-5.204858779907226562e-01,-1.207592725753784180e+00
-5.070831179618835449e-01,-1.228467345237731934e+00
-4.936596751213073730e-01,-1.249560713768005371e+00
