x_asv,y_asv
3.280481576919555664e+00,-3.326767683029174805e+00
3.352568387985229492e+00,-3.321535348892211914e+00
3.431479930877685547e+00,-3.315792560577392578e+00
3.513246774673461914e+00,-3.309161901473999023e+00
3.596167564392089844e+00,-3.301597595214843750e+00
3.679444789886474609e+00,-3.293157815933227539e+00
3.762682199478149414e+00,-3.283926725387573242e+00
3.845675945281982422e+00,-3.273986339569091797e+00
3.928320407867431641e+00,-3.263407230377197266e+00
4.010561943054199219e+00,-3.252247333526611328e+00
4.092375755310058594e+00,-3.240553617477416992e+00
4.173752784729003906e+00,-3.228363513946533203e+00
4.254693031311035156e+00,-3.215708017349243164e+00
4.335201740264892578e+00,-3.202612876892089844e+00
4.415287017822265625e+00,-3.189100265502929688e+00
4.494959354400634766e+00,-3.175189733505249023e+00
4.574229240417480469e+00,-3.160899162292480469e+00
4.653109073638916016e+00,-3.146245002746582031e+00
4.731611251831054688e+00,-3.131243228912353516e+00
4.809748649597167969e+00,-3.115908861160278320e+00
4.887534141540527344e+00,-3.100256681442260742e+00
4.964981079101562500e+00,-3.084301233291625977e+00
5.042102813720703125e+00,-3.068057298660278320e+00
5.118912696838378906e+00,-3.051539421081542969e+00
5.195425033569335938e+00,-3.034762144088745117e+00
5.271653175354003906e+00,-3.017739772796630859e+00
5.347611427307128906e+00,-3.000487327575683594e+00
5.423314094543457031e+00,-2.983019351959228516e+00
5.498775482177734375e+00,-2.965350627899169922e+00
5.574009895324707031e+00,-2.947496175765991211e+00
5.649031639099121094e+00,-2.929471015930175781e+00
5.723855018615722656e+00,-2.911290168762207031e+00
5.798494815826416016e+00,-2.892968654632568359e+00
5.872965335845947266e+00,-2.874521732330322266e+00
5.947280883789062500e+00,-2.855964660644531250e+00
6.021455764770507812e+00,-2.837312936782836914e+00
6.095504760742187500e+00,-2.818581581115722656e+00
6.169441699981689453e+00,-2.799786090850830078e+00
6.243281364440917969e+00,-2.780941963195800781e+00
6.317037582397460938e+00,-2.762064456939697266e+00
6.390724182128906250e+00,-2.743169069290161133e+00
6.464355468750000000e+00,-2.724271059036254883e+00
6.537944793701171875e+00,-2.705385923385620117e+00
6.611505985260009766e+00,-2.686528921127319336e+00
6.685052394866943359e+00,-2.667715311050415039e+00
6.758597373962402344e+00,-2.648960351943969727e+00
6.832154273986816406e+00,-2.630279302597045898e+00
6.905735492706298828e+00,-2.611687183380126953e+00
6.979354381561279297e+00,-2.593199253082275391e+00
7.053022861480712891e+00,-2.574830293655395508e+00
7.126753330230712891e+00,-2.556595325469970703e+00
7.200557708740234375e+00,-2.538509130477905273e+00
7.274448394775390625e+00,-2.520586490631103516e+00
7.348436355590820312e+00,-2.502841711044311523e+00
7.422533035278320312e+00,-2.485289335250854492e+00
7.496749401092529297e+00,-2.467943906784057617e+00
7.571095943450927734e+00,-2.450819253921508789e+00
7.645583629608154297e+00,-2.433929681777954102e+00
7.720222473144531250e+00,-2.417289018630981445e+00
7.795022487640380859e+00,-2.400910854339599609e+00
7.869993209838867188e+00,-2.384809017181396484e+00
7.945144176483154297e+00,-2.368996858596801758e+00
8.020484924316406250e+00,-2.353487491607666016e+00
8.096023559570312500e+00,-2.338294029235839844e+00
8.171769142150878906e+00,-2.323429584503173828e+00
8.247729301452636719e+00,-2.308906555175781250e+00
8.323912620544433594e+00,-2.294737577438354492e+00
8.400326728820800781e+00,-2.280935049057006836e+00
8.476979255676269531e+00,-2.267511129379272461e+00
8.553876876831054688e+00,-2.254477500915527344e+00
8.631027221679687500e+00,-2.241846084594726562e+00
8.708436965942382812e+00,-2.229628324508666992e+00
8.786111831665039062e+00,-2.217835664749145508e+00
8.864058494567871094e+00,-2.206479072570800781e+00
8.942281723022460938e+00,-2.195569515228271484e+00
9.020788192749023438e+00,-2.185117483139038086e+00
9.099582672119140625e+00,-2.175133466720581055e+00
9.178670883178710938e+00,-2.165627717971801758e+00
9.258057594299316406e+00,-2.156610012054443359e+00
9.337746620178222656e+00,-2.148090362548828125e+00
9.417742729187011719e+00,-2.140078067779541016e+00
9.498049736022949219e+00,-2.132582187652587891e+00
9.578672409057617188e+00,-2.125612020492553711e+00
9.659613609313964844e+00,-2.119176149368286133e+00
9.740876197814941406e+00,-2.113283157348632812e+00
9.822463989257812500e+00,-2.107941150665283203e+00
9.904379844665527344e+00,-2.103157997131347656e+00
9.986626625061035156e+00,-2.098941564559936523e+00
1.006920623779296875e+01,-2.095299005508422852e+00
1.015212154388427734e+01,-2.092237710952758789e+00
1.023537445068359375e+01,-2.089764356613159180e+00
1.031896591186523438e+01,-2.087885379791259766e+00
1.040289878845214844e+01,-2.086607217788696289e+00
1.048717308044433594e+01,-2.085935592651367188e+00
1.057179069519042969e+01,-2.085876226425170898e+00
1.065675258636474609e+01,-2.086434364318847656e+00
1.074205970764160156e+01,-2.087615013122558594e+00
1.082771205902099609e+01,-2.089422941207885742e+00
1.091371059417724609e+01,-2.091862440109252930e+00
1.100005435943603516e+01,-2.094937324523925781e+00
1.108674430847167969e+01,-2.098651409149169922e+00
1.117377948760986328e+01,-2.103007793426513672e+00
1.126115989685058594e+01,-2.108009576797485352e+00
1.134888458251953125e+01,-2.113659381866455078e+00
1.143695259094238281e+01,-2.119959354400634766e+00
1.152536296844482422e+01,-2.126911401748657227e+00
1.161411476135253906e+01,-2.134516954421997070e+00
1.170320606231689453e+01,-2.142777204513549805e+00
1.179263591766357422e+01,-2.151692867279052734e+00
1.188240146636962891e+01,-2.161264181137084961e+00
1.197250080108642578e+01,-2.171491384506225586e+00
1.206293296813964844e+01,-2.182374238967895508e+00
1.215369415283203125e+01,-2.193911790847778320e+00
1.224478244781494141e+01,-2.206103086471557617e+00
1.233619594573974609e+01,-2.218946933746337891e+00
1.242793083190917969e+01,-2.232441425323486328e+00
1.251998424530029297e+01,-2.246584415435791016e+00
1.261235332489013672e+01,-2.261373519897460938e+00
1.270503520965576172e+01,-2.276806116104125977e+00
1.279802608489990234e+01,-2.292879104614257812e+00
1.289132308959960938e+01,-2.309589385986328125e+00
1.298492145538330078e+01,-2.326933145523071289e+00
1.307881832122802734e+01,-2.344906568527221680e+00
1.317300987243652344e+01,-2.363505601882934570e+00
1.326749229431152344e+01,-2.382725715637207031e+00
1.336226177215576172e+01,-2.402562379837036133e+00
1.345731449127197266e+01,-2.423011064529418945e+00
1.355264568328857422e+01,-2.444066524505615234e+00
1.364825153350830078e+01,-2.465723752975463867e+00
1.374412727355957031e+01,-2.487977504730224609e+00
1.384026908874511719e+01,-2.510822296142578125e+00
1.393667316436767578e+01,-2.534252643585205078e+00
1.403333473205566406e+01,-2.558263063430786133e+00
1.413024997711181641e+01,-2.582847595214843750e+00
1.422741413116455078e+01,-2.608000516891479492e+00
1.432482242584228516e+01,-2.633716106414794922e+00
1.442247104644775391e+01,-2.659988403320312500e+00
1.452035617828369141e+01,-2.686811685562133789e+00
1.461847305297851562e+01,-2.714179992675781250e+00
1.471681690216064453e+01,-2.742087364196777344e+00
1.481538391113281250e+01,-2.770528078079223633e+00
1.491416931152343750e+01,-2.799496173858642578e+00
1.501317024230957031e+01,-2.828985929489135742e+00
