x_asv,y_asv
-4.659251213073730469e+00,3.934069633483886719e+00
-4.587364196777343750e+00,3.976236104965209961e+00
-4.507719039916992188e+00,4.019514083862304688e+00
-4.424185752868652344e+00,4.063011169433593750e+00
-4.338601112365722656e+00,4.106484889984130859e+00
-4.251932144165039062e+00,4.149864196777343750e+00
-4.164726257324218750e+00,4.193126678466796875e+00
-4.077309608459472656e+00,4.236262321472167969e+00
-3.989883899688720703e+00,4.279265403747558594e+00
-3.902578115463256836e+00,4.322129249572753906e+00
-3.815476655960083008e+00,4.364848613739013672e+00
-3.728635787963867188e+00,4.407419204711914062e+00
-3.642093420028686523e+00,4.449837207794189453e+00
-3.555875539779663086e+00,4.492100715637207031e+00
-3.470000028610229492e+00,4.534209251403808594e+00
-3.384479045867919922e+00,4.576162815093994141e+00
-3.299321651458740234e+00,4.617963314056396484e+00
-3.214533805847167969e+00,4.659613132476806641e+00
-3.130119800567626953e+00,4.701115608215332031e+00
-3.046082735061645508e+00,4.742474555969238281e+00
-2.962424993515014648e+00,4.783693790435791016e+00
-2.879148244857788086e+00,4.824778079986572266e+00
-2.796253681182861328e+00,4.865731716156005859e+00
-2.713742494583129883e+00,4.906559944152832031e+00
-2.631615400314331055e+00,4.947267532348632812e+00
-2.549873113632202148e+00,4.987859725952148438e+00
-2.468516111373901367e+00,5.028341293334960938e+00
-2.387544870376586914e+00,5.068717479705810547e+00
-2.306959629058837891e+00,5.108992576599121094e+00
-2.226760864257812500e+00,5.149172306060791016e+00
-2.146948814392089844e+00,5.189260959625244141e+00
-2.067523956298828125e+00,5.229263305664062500e+00
-1.988486170768737793e+00,5.269184112548828125e+00
-1.909835815429687500e+00,5.309027671813964844e+00
-1.831572890281677246e+00,5.348798751831054688e+00
-1.753697514533996582e+00,5.388501644134521484e+00
-1.676209568977355957e+00,5.428140163421630859e+00
-1.599109172821044922e+00,5.467719078063964844e+00
-1.522396206855773926e+00,5.507242202758789062e+00
-1.446070432662963867e+00,5.546713352203369141e+00
-1.370131850242614746e+00,5.586136341094970703e+00
-1.294580101966857910e+00,5.625514984130859375e+00
-1.219414949417114258e+00,5.664852619171142578e+00
-1.144636034965515137e+00,5.704152584075927734e+00
-1.070243000984191895e+00,5.743418693542480469e+00
-9.962354898452758789e-01,5.782653808593750000e+00
-9.226129651069641113e-01,5.821860790252685547e+00
-8.493748903274536133e-01,5.861042976379394531e+00
-7.765207290649414062e-01,5.900203227996826172e+00
-7.040498256683349609e-01,5.939343929290771484e+00
-6.319615244865417480e-01,5.978467941284179688e+00
-5.602551698684692383e-01,6.017577648162841797e+00
-4.889299869537353516e-01,6.056675434112548828e+00
-4.179851710796356201e-01,6.095763206481933594e+00
-3.474199175834655762e-01,6.134843349456787109e+00
-2.772333323955535889e-01,6.173917770385742188e+00
-2.074245512485504150e-01,6.212987899780273438e+00
-1.379926055669784546e-01,6.252055644989013672e+00
-6.893654912710189819e-02,6.291122436523437500e+00
-2.553686499595642090e-04,6.330190181732177734e+00
6.805194914340972900e-02,6.369259834289550781e+00
1.359864771366119385e-01,6.408332347869873047e+00
2.035492956638336182e-01,6.447409152984619141e+00
2.707414925098419189e-01,6.486490726470947266e+00
3.375642001628875732e-01,6.525578022003173828e+00
4.040185809135437012e-01,6.564671993255615234e+00
4.701057970523834229e-01,6.603773117065429688e+00
5.358270406723022461e-01,6.642881870269775391e+00
6.011835336685180664e-01,6.681998252868652344e+00
6.661764383316040039e-01,6.721122741699218750e+00
7.308070063591003418e-01,6.760255336761474609e+00
7.950764894485473633e-01,6.799396514892578125e+00
8.589860796928405762e-01,6.838545799255371094e+00
9.225370883941650391e-01,6.877703189849853516e+00
9.857307672500610352e-01,6.916868209838867188e+00
1.048568367958068848e+00,6.956040382385253906e+00
1.111051201820373535e+00,6.995219230651855469e+00
1.173180580139160156e+00,7.034404277801513672e+00
1.234957695007324219e+00,7.073595046997070312e+00
1.296383857727050781e+00,7.112790584564208984e+00
1.357460498809814453e+00,7.151990413665771484e+00
1.418188810348510742e+00,7.191193580627441406e+00
1.478569984436035156e+00,7.230398654937744141e+00
1.538605451583862305e+00,7.269605159759521484e+00
1.598296403884887695e+00,7.308811664581298828e+00
1.657644271850585938e+00,7.348017215728759766e+00
1.716650247573852539e+00,7.387220382690429688e+00
1.775315523147583008e+00,7.426419734954833984e+00
1.833641529083251953e+00,7.465614318847656250e+00
1.891629576683044434e+00,7.504802227020263672e+00
1.949280858039855957e+00,7.543982505798339844e+00
2.006596565246582031e+00,7.583153247833251953e+00
2.063578128814697266e+00,7.622313499450683594e+00
2.120226860046386719e+00,7.661460876464843750e+00
2.176543951034545898e+00,7.700594425201416016e+00
2.232530593872070312e+00,7.739712238311767578e+00
2.288188219070434570e+00,7.778812408447265625e+00
2.343518018722534180e+00,7.817893505096435547e+00
2.398521423339843750e+00,7.856953620910644531e+00
2.453199386596679688e+00,7.895990848541259766e+00
2.507553339004516602e+00,7.935003280639648438e+00
2.561584472656250000e+00,7.973989486694335938e+00
2.615294218063354492e+00,8.012947082519531250e+00
2.668683767318725586e+00,8.051874160766601562e+00
2.721754312515258789e+00,8.090769767761230469e+00
2.774507045745849609e+00,8.129631042480468750e+00
2.826943397521972656e+00,8.168456077575683594e+00
2.879064559936523438e+00,8.207242965698242188e+00
2.930871725082397461e+00,8.245990753173828125e+00
2.982366085052490234e+00,8.284696578979492188e+00
3.033549070358276367e+00,8.323358535766601562e+00
3.084421873092651367e+00,8.361974716186523438e+00
3.134985685348510742e+00,8.400543212890625000e+00
3.185241937637329102e+00,8.439062118530273438e+00
3.235191583633422852e+00,8.477528572082519531e+00
3.284836292266845703e+00,8.515941619873046875e+00
3.334177017211914062e+00,8.554299354553222656e+00
3.383215188980102539e+00,8.592598915100097656e+00
3.431951999664306641e+00,8.630839347839355469e+00
3.480388641357421875e+00,8.669017791748046875e+00
3.528526544570922852e+00,8.707133293151855469e+00
3.576366901397705078e+00,8.745182991027832031e+00
3.623911142349243164e+00,8.783165931701660156e+00
3.671160459518432617e+00,8.821079254150390625e+00
3.718116044998168945e+00,8.858922004699707031e+00
3.764779329299926758e+00,8.896691322326660156e+00
3.811151504516601562e+00,8.934386253356933594e+00
3.857234001159667969e+00,8.972004890441894531e+00
3.903028011322021484e+00,9.009544372558593750e+00
3.948534965515136719e+00,9.047003746032714844e+00
3.993756055831909180e+00,9.084381103515625000e+00
4.038692474365234375e+00,9.121674537658691406e+00
4.083345890045166016e+00,9.158883094787597656e+00
4.127717494964599609e+00,9.196003913879394531e+00
4.171808242797851562e+00,9.233036041259765625e+00
4.215620040893554688e+00,9.269977569580078125e+00
4.259153842926025391e+00,9.306826591491699219e+00
4.302411079406738281e+00,9.343582153320312500e+00
4.345393180847167969e+00,9.380242347717285156e+00
4.388101577758789062e+00,9.416805267333984375e+00
4.430537223815917969e+00,9.453269958496093750e+00
4.472702026367187500e+00,9.489634513854980469e+00
4.514596939086914062e+00,9.525897026062011719e+00
4.556223392486572266e+00,9.562056541442871094e+00
4.597582817077636719e+00,9.598112106323242188e+00
4.638676643371582031e+00,9.634061813354492188e+00
4.679505825042724609e+00,9.669903755187988281e+00
4.720072269439697266e+00,9.705636978149414062e+00
4.760376930236816406e+00,9.741260528564453125e+00
4.800421714782714844e+00,9.776772499084472656e+00
4.840207576751708984e+00,9.812171936035156250e+00
4.879735946655273438e+00,9.847457885742187500e+00
4.919008255004882812e+00,9.882629394531250000e+00
4.958025932312011719e+00,9.917684555053710938e+00
4.996790409088134766e+00,9.952622413635253906e+00
5.035303115844726562e+00,9.987442016601562500e+00
5.073565006256103516e+00,1.002214241027832031e+01
5.111577987670898438e+00,1.005672168731689453e+01
5.149343013763427734e+00,1.009117984771728516e+01
5.186861991882324219e+00,1.012551593780517578e+01
5.224135875701904297e+00,1.015972805023193359e+01
5.261166095733642578e+00,1.019381618499755859e+01
5.297954559326171875e+00,1.022777843475341797e+01
5.334502220153808594e+00,1.026161479949951172e+01
5.370810508728027344e+00,1.029532432556152344e+01
5.406880855560302734e+00,1.032890605926513672e+01
5.442714691162109375e+00,1.036236000061035156e+01
5.478313446044921875e+00,1.039568424224853516e+01
5.513678550720214844e+00,1.042887878417968750e+01
5.548810958862304688e+00,1.046194267272949219e+01
5.583712577819824219e+00,1.049487495422363281e+01
5.618384838104248047e+00,1.052767562866210938e+01
5.652828693389892578e+00,1.056034374237060547e+01
5.687046051025390625e+00,1.059287929534912109e+01
5.721037864685058594e+00,1.062528133392333984e+01
