x_asv,y_asv
2.082595825195312500e+00,3.435123205184936523e+00
1.927334785461425781e+00,3.193313598632812500e+00
1.784482479095458984e+00,2.952710628509521484e+00
1.650331258773803711e+00,2.720910787582397461e+00
1.514300227165222168e+00,2.502338647842407227e+00
1.373082637786865234e+00,2.297681331634521484e+00
1.229106903076171875e+00,2.107105731964111328e+00
1.093140482902526855e+00,1.932131886482238770e+00
9.585582613945007324e-01,1.779950380325317383e+00
8.214727640151977539e-01,1.644914388656616211e+00
6.815221309661865234e-01,1.526414036750793457e+00
5.429081916809082031e-01,1.410971045494079590e+00
4.057608842849731445e-01,1.306517481803894043e+00
2.725503444671630859e-01,1.222827196121215820e+00
1.447363346815109253e-01,1.156257152557373047e+00
2.339037507772445679e-02,1.102544069290161133e+00
-9.259220957756042480e-02,1.061490178108215332e+00
-2.077762931585311890e-01,1.044654965400695801e+00
-3.045571446418762207e-01,1.031559467315673828e+00
-3.878264129161834717e-01,1.018462419509887695e+00
-4.617006182670593262e-01,1.004658818244934082e+00
-5.270857214927673340e-01,9.907901287078857422e-01
-5.864287018775939941e-01,9.775026440620422363e-01
-6.427577733993530273e-01,9.596494436264038086e-01
-6.954172253608703613e-01,9.354279637336730957e-01
-7.445222139358520508e-01,9.042054414749145508e-01
-7.926822304725646973e-01,8.722570538520812988e-01
-8.405247330665588379e-01,8.413361310958862305e-01
-8.881834745407104492e-01,8.153905272483825684e-01
-9.325971603393554688e-01,7.930636405944824219e-01
-9.698173403739929199e-01,7.683182954788208008e-01
-9.999385476112365723e-01,7.431254386901855469e-01
-1.022610425949096680e+00,7.176275849342346191e-01
-1.039099574089050293e+00,6.914012432098388672e-01
-1.056491971015930176e+00,6.677677035331726074e-01
-1.065958380699157715e+00,6.490535736083984375e-01
-1.066539525985717773e+00,6.365993022918701172e-01
-1.062834501266479492e+00,6.269311904907226562e-01
-1.056060075759887695e+00,6.152544617652893066e-01
-1.046602606773376465e+00,6.026200652122497559e-01
-1.035513877868652344e+00,5.966448187828063965e-01
-1.027369856834411621e+00,5.978854894638061523e-01
-1.019353270530700684e+00,6.029604077339172363e-01
-1.014602899551391602e+00,6.037840247154235840e-01
-1.014238119125366211e+00,6.072413325309753418e-01
-1.025577664375305176e+00,6.147329211235046387e-01
-1.037773728370666504e+00,6.225384473800659180e-01
-1.041130423545837402e+00,6.352729797363281250e-01
-1.046884417533874512e+00,6.537135839462280273e-01
-1.052628993988037109e+00,6.742705106735229492e-01
-1.056321620941162109e+00,6.973085403442382812e-01
-1.056022524833679199e+00,7.192933559417724609e-01
-1.051859855651855469e+00,7.400959134101867676e-01
-1.044072508811950684e+00,7.580564618110656738e-01
-1.034233808517456055e+00,7.727586627006530762e-01
-1.023508787155151367e+00,7.841465473175048828e-01
-1.012177586555480957e+00,7.947462797164916992e-01
-9.993228316307067871e-01,8.039478063583374023e-01
-9.851058721542358398e-01,8.121360540390014648e-01
-9.718957543373107910e-01,8.220618963241577148e-01
-9.583733677864074707e-01,8.340355157852172852e-01
-9.432002305984497070e-01,8.474714159965515137e-01
-9.261436462402343750e-01,8.612244129180908203e-01
-9.074148535728454590e-01,8.750203251838684082e-01
-8.880004286766052246e-01,8.878786563873291016e-01
-8.685836791992187500e-01,8.996606469154357910e-01
-8.497004508972167969e-01,9.095759987831115723e-01
-8.318642973899841309e-01,9.177420735359191895e-01
-8.159926533699035645e-01,9.241844415664672852e-01
-8.049477338790893555e-01,9.310771822929382324e-01
-7.950434088706970215e-01,9.383670687675476074e-01
-7.842823266983032227e-01,9.460607171058654785e-01
-7.721283435821533203e-01,9.564259648323059082e-01
-7.578829526901245117e-01,9.680972099304199219e-01
-7.421442270278930664e-01,9.812439084053039551e-01
-7.240804433822631836e-01,9.948131442070007324e-01
-7.025663852691650391e-01,1.008172392845153809e+00
-6.779479384422302246e-01,1.021905303001403809e+00
-6.519605517387390137e-01,1.036951661109924316e+00
-6.239995956420898438e-01,1.053228735923767090e+00
-5.947771668434143066e-01,1.070539593696594238e+00
-5.647640228271484375e-01,1.088633537292480469e+00
-5.340822935104370117e-01,1.107082366943359375e+00
-5.027979016304016113e-01,1.125706195831298828e+00
-4.710790514945983887e-01,1.145253777503967285e+00
-4.400854706764221191e-01,1.167387366294860840e+00
-4.116791486740112305e-01,1.190550684928894043e+00
-3.839891850948333740e-01,1.213150620460510254e+00
-3.557409346103668213e-01,1.234664678573608398e+00
-3.236524462699890137e-01,1.255331277847290039e+00
-2.874141931533813477e-01,1.275163531303405762e+00
-2.466051131486892700e-01,1.294604659080505371e+00
-2.009107470512390137e-01,1.314096093177795410e+00
-1.507720351219177246e-01,1.334272027015686035e+00
-9.750556945800781250e-02,1.353724837303161621e+00
-4.215729236602783203e-02,1.372949242591857910e+00
1.650639250874519348e-02,1.395200252532958984e+00
7.894486188888549805e-02,1.424693226814270020e+00
1.401541382074356079e-01,1.457374811172485352e+00
1.971836686134338379e-01,1.492318987846374512e+00
2.449707090854644775e-01,1.530060648918151855e+00
2.820098102092742920e-01,1.564338445663452148e+00
3.128248751163482666e-01,1.596801877021789551e+00
3.397796154022216797e-01,1.628032445907592773e+00
3.641210198402404785e-01,1.658024907112121582e+00
3.874182999134063721e-01,1.686240911483764648e+00
4.091672599315643311e-01,1.713331103324890137e+00
4.296770095825195312e-01,1.739806413650512695e+00
4.494610130786895752e-01,1.765426635742187500e+00
4.686203002929687500e-01,1.790127635002136230e+00
4.869529306888580322e-01,1.814175486564636230e+00
5.047428011894226074e-01,1.838147640228271484e+00
5.226059556007385254e-01,1.862322092056274414e+00
5.404993295669555664e-01,1.886687755584716797e+00
5.584034919738769531e-01,1.911222577095031738e+00
5.774419307708740234e-01,1.934931874275207520e+00
5.971412062644958496e-01,1.958141565322875977e+00
6.172139048576354980e-01,1.981052160263061523e+00
6.374994516372680664e-01,2.003778457641601562e+00
6.577390432357788086e-01,2.026705026626586914e+00
6.779530048370361328e-01,2.049970626831054688e+00
6.969701051712036133e-01,2.072973251342773438e+00
7.151717543601989746e-01,2.095649719238281250e+00
7.328522205352783203e-01,2.118020057678222656e+00
7.499100565910339355e-01,2.140393972396850586e+00
7.663446068763732910e-01,2.162951707839965820e+00
7.825604081153869629e-01,2.185465812683105469e+00
7.985545396804809570e-01,2.208171606063842773e+00
8.147702217102050781e-01,2.231230735778808594e+00
8.319987654685974121e-01,2.254666805267333984e+00
8.498972654342651367e-01,2.278421163558959961e+00
8.682439327239990234e-01,2.302438259124755859e+00
8.868930339813232422e-01,2.326668977737426758e+00
9.057472944259643555e-01,2.351072311401367188e+00
9.247408509254455566e-01,2.375614404678344727e+00
9.433612823486328125e-01,2.400833845138549805e+00
9.613576531410217285e-01,2.427816629409790039e+00
9.791864752769470215e-01,2.456391096115112305e+00
9.972674250602722168e-01,2.486181259155273438e+00
1.015418767929077148e+00,2.516658067703247070e+00
1.033615112304687500e+00,2.547661781311035156e+00
1.051840305328369141e+00,2.579073667526245117e+00
1.070083856582641602e+00,2.610805749893188477e+00
1.088669300079345703e+00,2.642202615737915039e+00
1.107585668563842773e+00,2.673310041427612305e+00
1.126983642578125000e+00,2.705029487609863281e+00
