x_asv,y_asv
3.335484266281127930e+00,-3.399395465850830078e+00
3.072928905487060547e+00,-3.079397201538085938e+00
2.825261592864990234e+00,-2.759402513504028320e+00
2.595509290695190430e+00,-2.439414262771606445e+00
2.384860515594482422e+00,-2.119436025619506836e+00
2.192382097244262695e+00,-1.799473762512207031e+00
2.015357494354248047e+00,-1.479538440704345703e+00
1.852054357528686523e+00,-1.159654259681701660e+00
1.700343132019042969e+00,-8.398863077163696289e-01
1.563216567039489746e+00,-5.203685760498046875e-01
1.443709969520568848e+00,-2.014694511890411377e-01
1.348164677619934082e+00,1.155170798301696777e-01
1.281329393386840820e+00,4.254883825778961182e-01
1.257262945175170898e+00,7.104445695877075195e-01
1.253017902374267578e+00,9.427964091300964355e-01
1.261929988861083984e+00,1.115931391716003418e+00
1.274586200714111328e+00,1.246819734573364258e+00
1.286673188209533691e+00,1.347115755081176758e+00
1.292721867561340332e+00,1.437356114387512207e+00
1.294141530990600586e+00,1.520306706428527832e+00
1.292587876319885254e+00,1.598679661750793457e+00
1.288395643234252930e+00,1.673461198806762695e+00
1.283254027366638184e+00,1.743538737297058105e+00
1.276847004890441895e+00,1.812007904052734375e+00
1.268949389457702637e+00,1.883218288421630859e+00
1.259087920188903809e+00,1.958633661270141602e+00
1.245609641075134277e+00,2.040877103805541992e+00
1.229916453361511230e+00,2.128002166748046875e+00
1.213256716728210449e+00,2.218251466751098633e+00
1.195789456367492676e+00,2.310882091522216797e+00
1.177588701248168945e+00,2.405719518661499023e+00
1.157836318016052246e+00,2.500862121582031250e+00
1.135871887207031250e+00,2.593875408172607422e+00
1.111850023269653320e+00,2.681909799575805664e+00
1.087119340896606445e+00,2.767293691635131836e+00
1.074764609336853027e+00,2.842717647552490234e+00
1.069059371948242188e+00,2.908710002899169922e+00
1.067048311233520508e+00,2.967273950576782227e+00
1.067475676536560059e+00,3.019343376159667969e+00
1.069298863410949707e+00,3.065875530242919922e+00
1.071393132209777832e+00,3.107995986938476562e+00
1.072933435440063477e+00,3.146646261215209961e+00
1.073355197906494141e+00,3.182628154754638672e+00
1.072276115417480469e+00,3.216656446456909180e+00
1.069503068923950195e+00,3.249316215515136719e+00
1.065009951591491699e+00,3.281048774719238281e+00
1.058845639228820801e+00,3.312234163284301758e+00
1.051130294799804688e+00,3.343152046203613281e+00
1.042030930519104004e+00,3.373987913131713867e+00
1.031707763671875000e+00,3.404874324798583984e+00
1.020316243171691895e+00,3.435916662216186523e+00
1.008059740066528320e+00,3.467181921005249023e+00
9.951239824295043945e-01,3.498782157897949219e+00
9.814724922180175781e-01,3.530901193618774414e+00
9.672403335571289062e-01,3.563517093658447266e+00
9.525348544120788574e-01,3.596443891525268555e+00
9.374395608901977539e-01,3.629629611968994141e+00
9.220250248908996582e-01,3.663048744201660156e+00
9.063088297843933105e-01,3.696745157241821289e+00
8.902351856231689453e-01,3.730891466140747070e+00
8.739246726036071777e-01,3.765383481979370117e+00
8.575730919837951660e-01,3.800044775009155273e+00
8.412551879882812500e-01,3.834912538528442383e+00
8.249876499176025391e-01,3.870086669921875000e+00
8.089706301689147949e-01,3.905344486236572266e+00
7.931861877441406250e-01,3.940651416778564453e+00
7.776149511337280273e-01,3.975981235504150391e+00
7.622370719909667969e-01,4.011314392089843750e+00
7.470459342002868652e-01,4.046619415283203125e+00
7.320393919944763184e-01,4.081621646881103516e+00
7.172361612319946289e-01,4.116337299346923828e+00
7.030232548713684082e-01,4.151061058044433594e+00
6.893188357353210449e-01,4.185782432556152344e+00
6.760571599006652832e-01,4.220248699188232422e+00
6.631782650947570801e-01,4.254415035247802734e+00
6.506471037864685059e-01,4.288317680358886719e+00
6.384020447731018066e-01,4.321973800659179688e+00
6.264458894729614258e-01,4.355290412902832031e+00
6.147054433822631836e-01,4.388348102569580078e+00
6.032158732414245605e-01,4.420774459838867188e+00
5.919575095176696777e-01,4.452621459960937500e+00
5.809164047241210938e-01,4.484045028686523438e+00
5.700192451477050781e-01,4.515184402465820312e+00
5.592054724693298340e-01,4.546154022216796875e+00
5.484564900398254395e-01,4.576993465423583984e+00
5.377598404884338379e-01,4.607731342315673828e+00
5.271071195602416992e-01,4.638387680053710938e+00
