x_asv,y_asv
-2.403574287891387939e-01,2.640416100621223450e-02
-2.401751726865768433e-01,4.347638040781021118e-02
-2.398103326559066772e-01,6.083110719919204712e-02
-2.393510788679122925e-01,7.834916561841964722e-02
-2.388449013233184814e-01,9.595625102519989014e-02
-2.383177280426025391e-01,1.136053949594497681e-01
-2.377839982509613037e-01,1.312665343284606934e-01
-2.372519522905349731e-01,1.489201337099075317e-01
-2.367263883352279663e-01,1.665533035993576050e-01
-2.362101674079895020e-01,1.841573268175125122e-01
-2.357050180435180664e-01,2.017261385917663574e-01
-2.352119684219360352e-01,2.192553132772445679e-01
-2.347316294908523560e-01,2.367414683103561401e-01
-2.342643737792968750e-01,2.541818320751190186e-01
-2.338103950023651123e-01,2.715740799903869629e-01
-2.333697974681854248e-01,2.889160215854644775e-01
-2.329426109790802002e-01,3.062056899070739746e-01
-2.325288206338882446e-01,3.234412074089050293e-01
-2.321283966302871704e-01,3.406206965446472168e-01
-2.317412793636322021e-01,3.577423691749572754e-01
-2.313673943281173706e-01,3.748044669628143311e-01
-2.310066670179367065e-01,3.918052017688751221e-01
-2.306590080261230469e-01,4.087428748607635498e-01
-2.303243279457092285e-01,4.256157577037811279e-01
-2.300025224685668945e-01,4.424221515655517578e-01
-2.296934723854064941e-01,4.591604173183441162e-01
-2.293970882892608643e-01,4.758288860321044922e-01
-2.291132360696792603e-01,4.924259185791015625e-01
-2.288418114185333252e-01,5.089498758316040039e-01
-2.285826802253723145e-01,5.253992080688476562e-01
-2.283357083797454834e-01,5.417723059654235840e-01
-2.281007468700408936e-01,5.580676794052124023e-01
-2.278776615858078003e-01,5.742837786674499512e-01
-2.276662886142730713e-01,5.904191136360168457e-01
-2.274664789438247681e-01,6.064721941947937012e-01
-2.272780686616897583e-01,6.224415898323059082e-01
-2.271008789539337158e-01,6.383258700370788574e-01
-2.269347310066223145e-01,6.541236639022827148e-01
-2.267794311046600342e-01,6.698336005210876465e-01
-2.266348004341125488e-01,6.854543685913085938e-01
-2.265006154775619507e-01,7.009846568107604980e-01
-2.263766825199127197e-01,7.164232134819030762e-01
-2.262627780437469482e-01,7.317688465118408203e-01
-2.261586636304855347e-01,7.470203042030334473e-01
-2.260641008615493774e-01,7.621764540672302246e-01
-2.259788513183593750e-01,7.772362232208251953e-01
-2.259026467800140381e-01,7.921984791755676270e-01
-2.258352339267730713e-01,8.070622086524963379e-01
-2.257763147354125977e-01,8.218264579772949219e-01
-2.257256060838699341e-01,8.364902734756469727e-01
-2.256827950477600098e-01,8.510527610778808594e-01
-2.256475687026977539e-01,8.655131459236145020e-01
-2.256195843219757080e-01,8.798705935478210449e-01
-2.255984991788864136e-01,8.941243886947631836e-01
-2.255839556455612183e-01,9.082738161087036133e-01
-2.255755662918090820e-01,9.223183393478393555e-01
-2.255729436874389648e-01,9.362574219703674316e-01
-2.255756705999374390e-01,9.500905871391296387e-01
-2.255833148956298828e-01,9.638174772262573242e-01
-2.255954146385192871e-01,9.774377346038818359e-01
-2.256115078926086426e-01,9.909511804580688477e-01
-2.256310731172561646e-01,1.004357695579528809e+00
-2.256536036729812622e-01,1.017657160758972168e+00
-2.256785333156585693e-01,1.030849695205688477e+00
-2.257052809000015259e-01,1.043935418128967285e+00
-2.257332503795623779e-01,1.056914687156677246e+00
-2.257617712020874023e-01,1.069787859916687012e+00
-2.257901877164840698e-01,1.082555413246154785e+00
-2.258177697658538818e-01,1.095218181610107422e+00
-2.258437424898147583e-01,1.107776880264282227e+00
