x_asv,y_asv
-4.113265514373779297e+00,3.039215564727783203e+00
-3.811030864715576172e+00,2.761882543563842773e+00
-3.509058475494384766e+00,2.484009742736816406e+00
-3.207424640655517578e+00,2.210327863693237305e+00
-2.906902551651000977e+00,1.943389773368835449e+00
-2.613609075546264648e+00,1.683693408966064453e+00
-2.381616592407226562e+00,1.418909072875976562e+00
-2.524265050888061523e+00,1.168503522872924805e+00
-2.689873218536376953e+00,9.122653007507324219e-01
-2.838149309158325195e+00,6.587635278701782227e-01
-2.910398721694946289e+00,5.050030946731567383e-01
-2.955593347549438477e+00,5.394631624221801758e-01
-2.981230497360229492e+00,5.196635127067565918e-01
-2.998761177062988281e+00,5.204011201858520508e-01
-3.006489515304565430e+00,5.180059671401977539e-01
-3.008165359497070312e+00,5.209298133850097656e-01
-3.003465175628662109e+00,5.260665416717529297e-01
-2.994594573974609375e+00,5.325136184692382812e-01
-2.983054399490356445e+00,5.398494601249694824e-01
-2.969829082489013672e+00,5.477178692817687988e-01
-2.955581903457641602e+00,5.559128522872924805e-01
-2.936078071594238281e+00,5.605813264846801758e-01
-2.911754131317138672e+00,5.663343667984008789e-01
-2.882262229919433594e+00,5.737248659133911133e-01
-2.853472232818603516e+00,5.737482309341430664e-01
-2.829557895660400391e+00,5.692201256752014160e-01
-2.786822795867919922e+00,5.668634772300720215e-01
-2.687602758407592773e+00,5.575321316719055176e-01
-2.496977329254150391e+00,5.355750322341918945e-01
-2.245620727539062500e+00,4.646653234958648682e-01
-1.966595172882080078e+00,3.820751309394836426e-01
-1.674147844314575195e+00,2.729117572307586670e-01
-1.379380226135253906e+00,2.047260403633117676e-01
-1.085191845893859863e+00,1.295030713081359863e-01
-7.971539497375488281e-01,-1.751464605331420898e-02
-5.096174478530883789e-01,-2.227465361356735229e-01
-2.183586657047271729e-01,-4.587379992008209229e-01
8.046334981918334961e-02,-7.308893203735351562e-01
3.793199956417083740e-01,-9.992735385894775391e-01
6.777926087379455566e-01,-1.251936078071594238e+00
9.756374359130859375e-01,-1.519491314888000488e+00
1.272800683975219727e+00,-1.792983293533325195e+00
1.564782381057739258e+00,-2.021164178848266602e+00
1.838579773902893066e+00,-2.097278356552124023e+00
2.068035364151000977e+00,-2.084444761276245117e+00
2.274266719818115234e+00,-2.124264955520629883e+00
2.432685375213623047e+00,-2.169777393341064453e+00
2.545004129409790039e+00,-2.203288316726684570e+00
2.622064352035522461e+00,-2.227641820907592773e+00
2.670296192169189453e+00,-2.245203018188476562e+00
2.698932409286499023e+00,-2.255377769470214844e+00
2.718324661254882812e+00,-2.262464046478271484e+00
2.733286857604980469e+00,-2.268188953399658203e+00
2.746189832687377930e+00,-2.274090766906738281e+00
2.757832050323486328e+00,-2.280171394348144531e+00
2.768682956695556641e+00,-2.286399126052856445e+00
2.779031991958618164e+00,-2.292752504348754883e+00
2.788818359375000000e+00,-2.299146890640258789e+00
2.797831058502197266e+00,-2.305516004562377930e+00
2.806444644927978516e+00,-2.312006473541259766e+00
2.814271926879882812e+00,-2.318430185317993164e+00
2.820206165313720703e+00,-2.325551509857177734e+00
2.824223279953002930e+00,-2.333567857742309570e+00
2.826149702072143555e+00,-2.341069698333740234e+00
2.826971054077148438e+00,-2.348157882690429688e+00
2.826615810394287109e+00,-2.354514837265014648e+00
2.823957443237304688e+00,-2.360323190689086914e+00
2.820066690444946289e+00,-2.366060733795166016e+00
2.813997030258178711e+00,-2.371869087219238281e+00
2.805459260940551758e+00,-2.377756118774414062e+00
2.794918060302734375e+00,-2.383704185485839844e+00
2.782735347747802734e+00,-2.389713525772094727e+00
2.769185543060302734e+00,-2.395787239074707031e+00
2.754461765289306641e+00,-2.401567935943603516e+00
2.738886833190917969e+00,-2.405916213989257812e+00
2.712407827377319336e+00,-2.406609296798706055e+00
2.679584741592407227e+00,-2.405748605728149414e+00
2.644247770309448242e+00,-2.404609203338623047e+00
2.607904672622680664e+00,-2.403566598892211914e+00
2.570548534393310547e+00,-2.402510881423950195e+00
2.529423475265502930e+00,-2.403861999511718750e+00
2.481359720230102539e+00,-2.407234668731689453e+00
2.425613641738891602e+00,-2.411450624465942383e+00
2.365267038345336914e+00,-2.415349960327148438e+00
2.302134513854980469e+00,-2.419152736663818359e+00
2.233432054519653320e+00,-2.421801328659057617e+00
2.164148330688476562e+00,-2.426660060882568359e+00
2.100883960723876953e+00,-2.437320709228515625e+00
2.049635171890258789e+00,-2.455703258514404297e+00
1.984975099563598633e+00,-2.473519802093505859e+00
1.908284544944763184e+00,-2.489953041076660156e+00
1.875148892402648926e+00,-2.496900320053100586e+00
1.856996893882751465e+00,-2.502261400222778320e+00
1.842913031578063965e+00,-2.507593154907226562e+00
1.829784393310546875e+00,-2.513276576995849609e+00
1.816812157630920410e+00,-2.518134355545043945e+00
1.815888285636901855e+00,-2.515097618103027344e+00
1.827907323837280273e+00,-2.511818647384643555e+00
1.839576721191406250e+00,-2.510529518127441406e+00
1.848351120948791504e+00,-2.509487152099609375e+00
1.856420397758483887e+00,-2.507922410964965820e+00
1.864773511886596680e+00,-2.506131172180175781e+00
1.865720629692077637e+00,-2.502168893814086914e+00
1.867704987525939941e+00,-2.492268562316894531e+00
1.878096222877502441e+00,-2.481227159500122070e+00
1.888359785079956055e+00,-2.470461368560791016e+00
1.891243457794189453e+00,-2.448216438293457031e+00
1.908181309700012207e+00,-2.405519008636474609e+00
1.970353841781616211e+00,-2.362584829330444336e+00
2.015513420104980469e+00,-2.324672937393188477e+00
2.079764366149902344e+00,-2.308612346649169922e+00
2.118256568908691406e+00,-2.309066772460937500e+00
2.119153976440429688e+00,-2.314732313156127930e+00
2.100787878036499023e+00,-2.302041053771972656e+00
2.099963188171386719e+00,-2.270908355712890625e+00
2.142648935317993164e+00,-2.252651929855346680e+00
2.158421754837036133e+00,-2.246535301208496094e+00
2.158996105194091797e+00,-2.237781286239624023e+00
2.163089513778686523e+00,-2.224497556686401367e+00
2.168655157089233398e+00,-2.212397575378417969e+00
2.173420667648315430e+00,-2.202421188354492188e+00
2.174854993820190430e+00,-2.192314147949218750e+00
2.177124500274658203e+00,-2.181331872940063477e+00
2.180599212646484375e+00,-2.170524597167968750e+00
2.183502912521362305e+00,-2.160027027130126953e+00
2.185975551605224609e+00,-2.149391412734985352e+00
2.188846826553344727e+00,-2.138338327407836914e+00
2.193294286727905273e+00,-2.125894546508789062e+00
2.203335285186767578e+00,-2.108436822891235352e+00
2.216670036315917969e+00,-2.092653512954711914e+00
2.224402189254760742e+00,-2.080205678939819336e+00
2.230308294296264648e+00,-2.069525241851806641e+00
2.237672567367553711e+00,-2.065178394317626953e+00
2.231569528579711914e+00,-2.064782142639160156e+00
2.231888532638549805e+00,-2.056993961334228516e+00
2.237684249877929688e+00,-2.052168607711791992e+00
2.244618177413940430e+00,-2.056527853012084961e+00
2.246623992919921875e+00,-2.068529605865478516e+00
2.243325471878051758e+00,-2.080177307128906250e+00
2.243512868881225586e+00,-2.089280605316162109e+00
2.242736816406250000e+00,-2.099221467971801758e+00
2.241675376892089844e+00,-2.109178543090820312e+00
2.239793539047241211e+00,-2.119223594665527344e+00
2.230192422866821289e+00,-2.130732774734497070e+00
2.225074291229248047e+00,-2.142012119293212891e+00
2.216441631317138672e+00,-2.154297828674316406e+00
2.207218170166015625e+00,-2.165945768356323242e+00
2.201560497283935547e+00,-2.173248291015625000e+00
2.199533224105834961e+00,-2.179102182388305664e+00
2.198648691177368164e+00,-2.185928583145141602e+00
2.196236133575439453e+00,-2.193407297134399414e+00
2.196742773056030273e+00,-2.207662343978881836e+00
2.187827825546264648e+00,-2.227226972579956055e+00
2.175001382827758789e+00,-2.246605634689331055e+00
2.164807558059692383e+00,-2.260516643524169922e+00
2.161127805709838867e+00,-2.271264076232910156e+00
2.158740043640136719e+00,-2.283358335494995117e+00
2.155795097351074219e+00,-2.293688058853149414e+00
2.155607461929321289e+00,-2.302226305007934570e+00
2.158967733383178711e+00,-2.309715270996093750e+00
2.162609815597534180e+00,-2.318273544311523438e+00
2.164790153503417969e+00,-2.328991651535034180e+00
2.165311813354492188e+00,-2.339589357376098633e+00
2.166436433792114258e+00,-2.349428415298461914e+00
2.168111562728881836e+00,-2.359344482421875000e+00
2.169544219970703125e+00,-2.369515657424926758e+00
2.170794963836669922e+00,-2.379637479782104492e+00
2.172139167785644531e+00,-2.389662265777587891e+00
2.173216581344604492e+00,-2.398430347442626953e+00
2.165361642837524414e+00,-2.405402660369873047e+00
2.165030002593994141e+00,-2.413350105285644531e+00
2.156890392303466797e+00,-2.423866033554077148e+00
2.152206182479858398e+00,-2.432476997375488281e+00
2.146956443786621094e+00,-2.440987110137939453e+00
2.146004915237426758e+00,-2.448506116867065430e+00
2.141799688339233398e+00,-2.456819772720336914e+00
2.135214090347290039e+00,-2.462718009948730469e+00
2.131191730499267578e+00,-2.467293024063110352e+00
2.126662969589233398e+00,-2.472280979156494141e+00
2.123272418975830078e+00,-2.478108644485473633e+00
2.119414567947387695e+00,-2.484976530075073242e+00
2.114986419677734375e+00,-2.491522550582885742e+00
2.112558126449584961e+00,-2.497660160064697266e+00
2.111151456832885742e+00,-2.503457069396972656e+00
2.109011173248291016e+00,-2.503222465515136719e+00
2.106613874435424805e+00,-2.496600151062011719e+00
2.105723857879638672e+00,-2.488819837570190430e+00
2.104147911071777344e+00,-2.479066610336303711e+00
2.105619907379150391e+00,-2.467822313308715820e+00
2.108132600784301758e+00,-2.456060886383056641e+00
2.111143827438354492e+00,-2.444101572036743164e+00
2.114184141159057617e+00,-2.433218717575073242e+00
2.115071535110473633e+00,-2.422756195068359375e+00
2.109289884567260742e+00,-2.412914514541625977e+00
2.098126649856567383e+00,-2.404223918914794922e+00
2.082815647125244141e+00,-2.396599531173706055e+00
2.063695192337036133e+00,-2.391664981842041016e+00
2.041858673095703125e+00,-2.389936447143554688e+00
2.015688180923461914e+00,-2.387417078018188477e+00
1.979168772697448730e+00,-2.386374473571777344e+00
1.932956814765930176e+00,-2.389154195785522461e+00
1.878628015518188477e+00,-2.394694805145263672e+00
1.845121741294860840e+00,-2.382980346679687500e+00
1.818391203880310059e+00,-2.368802547454833984e+00
1.791841745376586914e+00,-2.355329513549804688e+00
1.765617847442626953e+00,-2.342079639434814453e+00
1.739642024040222168e+00,-2.328964471817016602e+00
1.710831165313720703e+00,-2.316770315170288086e+00
1.674163222312927246e+00,-2.302941560745239258e+00
1.632289886474609375e+00,-2.285469532012939453e+00
1.591363668441772461e+00,-2.263395786285400391e+00
1.551494598388671875e+00,-2.239752769470214844e+00
1.511110901832580566e+00,-2.217638015747070312e+00
1.469555497169494629e+00,-2.196590423583984375e+00
1.426900744438171387e+00,-2.176359176635742188e+00
1.376573204994201660e+00,-2.149609565734863281e+00
1.320148110389709473e+00,-2.118037223815917969e+00
1.259183049201965332e+00,-2.083262205123901367e+00
1.194930315017700195e+00,-2.046280860900878906e+00
1.130140542984008789e+00,-2.005924463272094727e+00
1.088514685630798340e+00,-1.952105045318603516e+00
1.077148556709289551e+00,-1.912888526916503906e+00
1.083113074302673340e+00,-1.895385026931762695e+00
1.090389013290405273e+00,-1.892004966735839844e+00
1.092674016952514648e+00,-1.890816092491149902e+00
1.091998338699340820e+00,-1.886396527290344238e+00
1.090983510017395020e+00,-1.879714131355285645e+00
1.090533971786499023e+00,-1.872658491134643555e+00
1.090478539466857910e+00,-1.866011261940002441e+00
1.090493917465209961e+00,-1.859719395637512207e+00
1.090449213981628418e+00,-1.853555798530578613e+00
1.090355396270751953e+00,-1.847411870956420898e+00
1.090250968933105469e+00,-1.841286420822143555e+00
1.090154290199279785e+00,-1.835206270217895508e+00
1.090064525604248047e+00,-1.829187273979187012e+00
1.092090964317321777e+00,-1.825776815414428711e+00
1.095172882080078125e+00,-1.825164675712585449e+00
1.097950339317321777e+00,-1.825648188591003418e+00
1.100267887115478516e+00,-1.826069235801696777e+00
1.102375745773315430e+00,-1.826177239418029785e+00
1.104458689689636230e+00,-1.826117038726806641e+00
1.106561779975891113e+00,-1.826034784317016602e+00
1.108664870262145996e+00,-1.825979948043823242e+00
1.110907554626464844e+00,-1.826074123382568359e+00
1.112447023391723633e+00,-1.825085997581481934e+00
1.113867402076721191e+00,-1.823203802108764648e+00
1.115384817123413086e+00,-1.820981144905090332e+00
1.116995453834533691e+00,-1.818756103515625000e+00
1.118638992309570312e+00,-1.816627144813537598e+00
1.121238470077514648e+00,-1.813959956169128418e+00
1.129199504852294922e+00,-1.808696031570434570e+00
1.142628312110900879e+00,-1.804648041725158691e+00
1.159992456436157227e+00,-1.803611397743225098e+00
1.179239392280578613e+00,-1.805710196495056152e+00
1.198111176490783691e+00,-1.809537768363952637e+00
1.215932369232177734e+00,-1.814173102378845215e+00
1.232503890991210938e+00,-1.818842887878417969e+00
1.247961282730102539e+00,-1.823066949844360352e+00
1.262602806091308594e+00,-1.826660037040710449e+00
1.276748895645141602e+00,-1.829659342765808105e+00
1.290630578994750977e+00,-1.832151532173156738e+00
1.304401159286499023e+00,-1.834262847900390625e+00
1.318164587020874023e+00,-1.836223483085632324e+00
1.331916689872741699e+00,-1.838195562362670898e+00
1.345590949058532715e+00,-1.840259194374084473e+00
1.359122157096862793e+00,-1.842427253723144531e+00
1.372464299201965332e+00,-1.844677567481994629e+00
1.385550141334533691e+00,-1.846979260444641113e+00
1.401321172714233398e+00,-1.847242355346679688e+00
1.424630284309387207e+00,-1.844608664512634277e+00
1.456695437431335449e+00,-1.842888593673706055e+00
1.495295882225036621e+00,-1.843288898468017578e+00
1.520462274551391602e+00,-1.846174836158752441e+00
1.527944803237915039e+00,-1.844821333885192871e+00
1.530557751655578613e+00,-1.840687870979309082e+00
1.534350156784057617e+00,-1.835261464118957520e+00
1.538982033729553223e+00,-1.829252719879150391e+00
1.544134736061096191e+00,-1.823055982589721680e+00
1.549570202827453613e+00,-1.816876411437988281e+00
1.555099010467529297e+00,-1.810788393020629883e+00
1.560533046722412109e+00,-1.804745554924011230e+00
1.565869688987731934e+00,-1.798806071281433105e+00
1.571095347404479980e+00,-1.793000578880310059e+00
1.576196312904357910e+00,-1.787345528602600098e+00
1.581160783767700195e+00,-1.781848073005676270e+00
1.585981011390686035e+00,-1.776512384414672852e+00
1.590652227401733398e+00,-1.771340131759643555e+00
1.595170974731445312e+00,-1.766331791877746582e+00
1.599535226821899414e+00,-1.761488080024719238e+00
1.603744149208068848e+00,-1.756809353828430176e+00
1.608296394348144531e+00,-1.752355694770812988e+00
1.612985849380493164e+00,-1.748137116432189941e+00
1.617667794227600098e+00,-1.744142174720764160e+00
1.622253775596618652e+00,-1.740353226661682129e+00
1.626692771911621094e+00,-1.736754775047302246e+00
1.630956172943115234e+00,-1.733334660530090332e+00
1.635031342506408691e+00,-1.730084538459777832e+00
1.638910770416259766e+00,-1.726999402046203613e+00
1.642591238021850586e+00,-1.724075913429260254e+00
1.646072149276733398e+00,-1.721312522888183594e+00
