x_asv,y_asv
-3.708069801330566406e+00,2.278136491775512695e+00
-3.464301586151123047e+00,2.305852174758911133e+00
-3.230350494384765625e+00,2.333044767379760742e+00
-3.007437944412231445e+00,2.363236188888549805e+00
-2.794644355773925781e+00,2.407337427139282227e+00
-2.585877180099487305e+00,2.468539714813232422e+00
-2.381233692169189453e+00,2.543570995330810547e+00
-2.176730871200561523e+00,2.630288362503051758e+00
-1.968457221984863281e+00,2.730386972427368164e+00
-1.758452177047729492e+00,2.828560829162597656e+00
-1.552660465240478516e+00,2.913427591323852539e+00
-1.359475731849670410e+00,2.978343009948730469e+00
-1.185212850570678711e+00,3.036236763000488281e+00
-1.033146619796752930e+00,3.080443382263183594e+00
-9.036167263984680176e-01,3.113486766815185547e+00
-7.883420586585998535e-01,3.133970260620117188e+00
-7.148429155349731445e-01,3.159303188323974609e+00
-6.891475319862365723e-01,3.152844190597534180e+00
-6.720343828201293945e-01,3.161273956298828125e+00
-6.697685718536376953e-01,3.184608697891235352e+00
-6.748974323272705078e-01,3.208394289016723633e+00
-6.864278912544250488e-01,3.232162237167358398e+00
-6.997870802879333496e-01,3.255536556243896484e+00
-7.136344909667968750e-01,3.278653860092163086e+00
-7.277609705924987793e-01,3.301568269729614258e+00
-7.420322895050048828e-01,3.324320793151855469e+00
-7.563611268997192383e-01,3.346943140029907227e+00
-7.708841562271118164e-01,3.369665622711181641e+00
-7.855355143547058105e-01,3.392493247985839844e+00
-8.002482652664184570e-01,3.415405035018920898e+00
-8.149778842926025391e-01,3.438385486602783203e+00
-8.296942114830017090e-01,3.461423635482788086e+00
-8.443767428398132324e-01,3.484511137008666992e+00
-8.590114712715148926e-01,3.507642030715942383e+00
-8.735887408256530762e-01,3.530811309814453125e+00
-8.881021142005920410e-01,3.554015636444091797e+00
-9.025471210479736328e-01,3.577252388000488281e+00
-9.169209003448486328e-01,3.600519418716430664e+00
-9.314814805984497070e-01,3.623965740203857422e+00
-9.462258815765380859e-01,3.647607326507568359e+00
-9.609754085540771484e-01,3.671501398086547852e+00
-9.757179617881774902e-01,3.695611715316772461e+00
-9.904441833496093750e-01,3.719907283782958984e+00
-1.005146861076354980e+00,3.744362115859985352e+00
-1.020003199577331543e+00,3.768986701965332031e+00
-1.035843133926391602e+00,3.793912887573242188e+00
-1.052348017692565918e+00,3.819039821624755859e+00
-1.069201231002807617e+00,3.844300508499145508e+00
-1.086041092872619629e+00,3.869737625122070312e+00
-1.103264212608337402e+00,3.895467519760131836e+00
-1.120927810668945312e+00,3.921382904052734375e+00
-1.138994574546813965e+00,3.947408914566040039e+00
-1.157434582710266113e+00,3.973391532897949219e+00
-1.176651954650878906e+00,3.999190330505371094e+00
-1.196776509284973145e+00,4.024925231933593750e+00
-1.217669486999511719e+00,4.050536632537841797e+00
-1.239400625228881836e+00,4.075611114501953125e+00
-1.261968016624450684e+00,4.099452018737792969e+00
-1.285155177116394043e+00,4.122053623199462891e+00
-1.308849334716796875e+00,4.143474578857421875e+00
-1.332965016365051270e+00,4.163787364959716797e+00
-1.356468796730041504e+00,4.183020114898681641e+00
-1.379368424415588379e+00,4.201432228088378906e+00
