x_asv,y_asv
-2.939180374145507812e+00,-1.241380333900451660e+00
-3.039294958114624023e+00,-1.223260402679443359e+00
-3.070976018905639648e+00,-1.234522104263305664e+00
-3.084199190139770508e+00,-1.233676671981811523e+00
-3.089081287384033203e+00,-1.223530888557434082e+00
-3.088027238845825195e+00,-1.207148671150207520e+00
-3.082598686218261719e+00,-1.186184644699096680e+00
-3.073948860168457031e+00,-1.161856293678283691e+00
-3.062899827957153320e+00,-1.135067820549011230e+00
-3.049991369247436523e+00,-1.106421113014221191e+00
-3.035583257675170898e+00,-1.076393723487854004e+00
-3.019957304000854492e+00,-1.045377254486083984e+00
-3.003344058990478516e+00,-1.013688802719116211e+00
-2.985934257507324219e+00,-9.815777540206909180e-01
-2.967914342880249023e+00,-9.491143822669982910e-01
-2.949409246444702148e+00,-9.163851737976074219e-01
-2.930505752563476562e+00,-8.834911584854125977e-01
-2.911276578903198242e+00,-8.505050539970397949e-01
-2.891821384429931641e+00,-8.174708485603332520e-01
-2.872360706329345703e+00,-7.843857407569885254e-01
-2.852880954742431641e+00,-7.512843012809753418e-01
-2.833401203155517578e+00,-7.181620001792907715e-01
-2.813962459564208984e+00,-6.850422620773315430e-01
-2.794563293457031250e+00,-6.519822478294372559e-01
-2.775200843811035156e+00,-6.189608573913574219e-01
-2.755787134170532227e+00,-5.860286355018615723e-01
-2.736346483230590820e+00,-5.532259345054626465e-01
-2.716866970062255859e+00,-5.205708742141723633e-01
-2.697359800338745117e+00,-4.880601763725280762e-01
-2.678023815155029297e+00,-4.553468823432922363e-01
-2.659727573394775391e+00,-4.229575097560882568e-01
-2.642379283905029297e+00,-3.906135559082031250e-01
-2.625990152359008789e+00,-3.581150472164154053e-01
-2.610395908355712891e+00,-3.255074918270111084e-01
-2.595297574996948242e+00,-2.930255830287933350e-01
-2.580184698104858398e+00,-2.610664665699005127e-01
-2.565093517303466797e+00,-2.297083884477615356e-01
-2.550034761428833008e+00,-1.987192481756210327e-01
-2.534944534301757812e+00,-1.680497825145721436e-01
-2.519690275192260742e+00,-1.368188261985778809e-01
-2.504008531570434570e+00,-1.045171171426773071e-01
